"","sample","stage","tissue","NF","caste","VM","colony"
"Ant_AQG.1","Ant_AQG.1","8","gaster",NA,"queen","mated","1"
"Ant_AQG.2","Ant_AQG.2","8","gaster",NA,"queen","mated","2"
"Ant_AQG.3","Ant_AQG.3","8","gaster",NA,"queen","mated","3"
"Ant_AQH.1","Ant_AQH.1","8","head",NA,"queen","mated","1"
"Ant_AQH.2","Ant_AQH.2","8","head",NA,"queen","mated","2"
"Ant_AQH.3","Ant_AQH.3","8","head",NA,"queen","mated","3"
"Ant_AQM.1","Ant_AQM.1","8","mesosoma",NA,"queen","mated","1"
"Ant_AQM.2","Ant_AQM.2","8","mesosoma",NA,"queen","mated","2"
"Ant_AQM.3","Ant_AQM.3","8","mesosoma",NA,"queen","mated","3"
"Ant_E.1","Ant_E.1","1","egg",NA,"worker",NA,"1"
"Ant_E.2","Ant_E.2","1","egg",NA,"worker",NA,"2"
"Ant_E.3","Ant_E.3","1","egg",NA,"worker",NA,"3"
"Ant_E.4","Ant_E.4","1","egg",NA,"worker",NA,"1"
"Ant_E.5","Ant_E.5","1","egg",NA,"worker",NA,"1"
"Ant_E.6","Ant_E.6","1","egg",NA,"worker",NA,"1"
"Ant_FG.1","Ant_FG.1","8","gaster","forager","worker",NA,"1"
"Ant_FG.2","Ant_FG.2","8","gaster","forager","worker",NA,"2"
"Ant_FG.3","Ant_FG.3","8","gaster","forager","worker",NA,"3"
"Ant_FH.1","Ant_FH.1","8","head","forager","worker",NA,"1"
"Ant_FH.2","Ant_FH.2","8","head","forager","worker",NA,"2"
"Ant_FH.3","Ant_FH.3","8","head","forager","worker",NA,"3"
"Ant_FM.1","Ant_FM.1","8","mesosoma","forager","worker",NA,"1"
"Ant_FM.2","Ant_FM.2","8","mesosoma","forager","worker",NA,"2"
"Ant_FM.3","Ant_FM.3","8","mesosoma","forager","worker",NA,"3"
"Ant_GP.1","Ant_GP.1","7","gaster",NA,"queen",NA,"1"
"Ant_GP.2","Ant_GP.2","7","gaster",NA,"queen",NA,"2"
"Ant_GP.3","Ant_GP.3","7","gaster",NA,"queen",NA,"3"
"Ant_L1.1","Ant_L1.1","2","larva",NA,"worker",NA,"1"
"Ant_L1.2","Ant_L1.2","2","larva",NA,"worker",NA,"2"
"Ant_L1.3","Ant_L1.3","2","larva",NA,"worker",NA,"3"
"Ant_L1.4","Ant_L1.4","2","larva",NA,"worker",NA,"1"
"Ant_L1.5","Ant_L1.5","2","larva",NA,"worker",NA,"1"
"Ant_L1.6","Ant_L1.6","2","larva",NA,"worker",NA,"1"
"Ant_MG.1","Ant_MG.1","8","mesosoma",NA,"male",NA,"1"
"Ant_MG.2","Ant_MG.2","8","mesosoma",NA,"male",NA,"2"
"Ant_MG.3","Ant_MG.3","8","mesosoma",NA,"male",NA,"3"
"Ant_MH.1","Ant_MH.1","8","mesosoma",NA,"male",NA,"1"
"Ant_MH.2","Ant_MH.2","8","mesosoma",NA,"male",NA,"2"
"Ant_MH.3","Ant_MH.3","8","mesosoma",NA,"male",NA,"3"
"Ant_MM.1","Ant_MM.1","8","mesosoma",NA,"male",NA,"1"
"Ant_MM.2","Ant_MM.2","8","mesosoma",NA,"male",NA,"2"
"Ant_MM.3","Ant_MM.3","8","mesosoma",NA,"male",NA,"3"
"Ant_MP.1","Ant_MP.1","7","mesosoma",NA,"male",NA,"1"
"Ant_MP.2","Ant_MP.2","7","mesosoma",NA,"male",NA,"2"
"Ant_MP.3","Ant_MP.3","7","mesosoma",NA,"male",NA,"3"
"Ant_NG.1","Ant_NG.1","8","gaster","nurse","worker",NA,"1"
"Ant_NG.2","Ant_NG.2","8","gaster","nurse","worker",NA,"2"
"Ant_NG.3","Ant_NG.3","8","gaster","nurse","worker",NA,"3"
"Ant_NH.1","Ant_NH.1","8","head","nurse","worker",NA,"1"
"Ant_NH.2","Ant_NH.2","8","head","nurse","worker",NA,"2"
"Ant_NH.3","Ant_NH.3","8","head","nurse","worker",NA,"3"
"Ant_NM.1","Ant_NM.1","8","mesosoma","nurse","worker",NA,"1"
"Ant_NM.2","Ant_NM.2","8","mesosoma","nurse","worker",NA,"2"
"Ant_NM.3","Ant_NM.3","8","mesosoma","nurse","worker",NA,"3"
"Ant_SL2.1","Ant_SL2.1","3","larva",NA,"queen",NA,"2"
"Ant_SL2.2","Ant_SL2.2","3","larva",NA,"queen",NA,"2"
"Ant_SL2.3","Ant_SL2.3","3","larva",NA,"queen",NA,"3"
"Ant_SL3.1","Ant_SL3.1","4","larva",NA,"queen",NA,"3"
"Ant_SL3.2","Ant_SL3.2","4","larva",NA,"queen",NA,"3"
"Ant_SL3.3","Ant_SL3.3","4","larva",NA,"queen",NA,"3"
"Ant_SL4.1","Ant_SL4.1","5","larva",NA,"queen",NA,"1"
"Ant_SL4.2","Ant_SL4.2","5","larva",NA,"queen",NA,"2"
"Ant_SL4.3","Ant_SL4.3","5","larva",NA,"queen",NA,"3"
"Ant_SL5.1","Ant_SL5.1","6","larva",NA,"queen",NA,"1"
"Ant_SL5.2","Ant_SL5.2","6","larva",NA,"queen",NA,"2"
"Ant_SL5.3","Ant_SL5.3","6","larva",NA,"queen",NA,"3"
"Ant_VQG.1","Ant_VQG.1","8","gaster",NA,"queen","virgin","1"
"Ant_VQG.2","Ant_VQG.2","8","gaster",NA,"queen","virgin","2"
"Ant_VQG.3","Ant_VQG.3","8","gaster",NA,"queen","virgin","3"
"Ant_VQH.1","Ant_VQH.1","8","head",NA,"queen","virgin","1"
"Ant_VQH.2","Ant_VQH.2","8","head",NA,"queen","virgin","2"
"Ant_VQH.3","Ant_VQH.3","8","head",NA,"queen","virgin","3"
"Ant_VQM.1","Ant_VQM.1","8","mesosoma",NA,"queen","virgin","1"
"Ant_VQM.2","Ant_VQM.2","8","mesosoma",NA,"queen","virgin","2"
"Ant_VQM.3","Ant_VQM.3","8","mesosoma",NA,"queen","virgin","3"
"Ant_WL2.1","Ant_WL2.1","3","larva",NA,"worker",NA,"2"
"Ant_WL2.2","Ant_WL2.2","3","larva",NA,"worker",NA,"2"
"Ant_WL2.3","Ant_WL2.3","3","larva",NA,"worker",NA,"3"
"Ant_WL3.1","Ant_WL3.1","4","larva",NA,"worker",NA,"3"
"Ant_WL3.2","Ant_WL3.2","4","larva",NA,"worker",NA,"3"
"Ant_WL3.3","Ant_WL3.3","4","larva",NA,"worker",NA,"3"
"Ant_WL4.1","Ant_WL4.1","5","larva",NA,"worker",NA,"1"
"Ant_WL4.2","Ant_WL4.2","5","larva",NA,"worker",NA,"2"
"Ant_WL4.3","Ant_WL4.3","5","larva",NA,"worker",NA,"3"
"Ant_WL5.1","Ant_WL5.1","6","larva",NA,"worker",NA,"1"
"Ant_WL5.2","Ant_WL5.2","6","larva",NA,"worker",NA,"2"
"Ant_WL5.3","Ant_WL5.3","6","larva",NA,"worker",NA,"3"
"Ant_WP.1","Ant_WP.1","7","pupa",NA,"worker",NA,"1"
"Ant_WP.2","Ant_WP.2","7","pupa",NA,"worker",NA,"2"
"Ant_WP.3","Ant_WP.3","7","pupa",NA,"worker",NA,"3"
